Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,8,1,130.0,244.20183399990947,32.037136999861104,417.9509239993422,239137.0,0.5787309972775813,0.07234137465969766,380,390,400,400,420,420,420,420,420,420,420
GET,/blog,3,0,350.0,261.5993389999858,67.26396900012332,371.77934699957405,159949.66666666666,0.21702412397909296,0.0,350,350,370,370,370,370,370,370,370,370,370
GET,/fastly,1,0,363.7862209998275,363.7862209998275,363.7862209998275,363.7862209998275,152595.0,0.07234137465969766,0.0,360,360,360,360,360,360,360,360,360,360,360
GET,/services,3,0,390.0,385.5114040000747,363.3191330000045,406.5196660003494,272801.0,0.21702412397909296,0.0,390,390,410,410,410,410,410,410,410,410,410
GET,/solutions,7,0,74,204.7398004286671,70.02198099962698,403.1288370006223,181027.2857142857,0.5063896226178836,0.0,74,360,380,380,400,400,400,400,400,400,400
GET,/success-stories,3,0,310.0,253.58915966656545,67.05462599984457,383.5503800000879,175194.33333333334,0.21702412397909296,0.0,310,310,380,380,380,380,380,380,380,380,380
GET,/webinars,1,0,350.3407620000871,350.3407620000871,350.3407620000871,350.3407620000871,105485.0,0.07234137465969766,0.0,350,350,350,350,350,350,350,350,350,350,350
GET,/why-hoodoo,9,0,340.0,269.30849988922193,68.65650000054302,407.72166199985804,222414.11111111112,0.6510723719372788,0.0,340,350,360,370,410,410,410,410,410,410,410
,Aggregated,35,1,350.0,263.6227561429353,32.037136999861104,417.9509239993422,207540.82857142857,2.5319481130894177,0.07234137465969766,350,370,380,390,400,410,420,420,420,420,420
