Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1691620921,8,GET,/,0.166667,0.000000,400,400,400,400,400,400,400,400,400,400,400,2,0,79,237.96155499985616,78.84931399985362,397.0737959998587,217668.0
1691620921,8,GET,/blog,0.166667,0.000000,370,370,370,370,370,370,370,370,370,370,370,2,0,350.0,358.767023999917,345.75470100025996,371.77934699957405,149621.5
1691620921,8,GET,/fastly,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,363.7862209998275,363.7862209998275,363.7862209998275,363.7862209998275,152595.0
1691620921,8,GET,/services,0.166667,0.000000,390,390,390,390,390,390,390,390,390,390,390,1,0,386.6954129998703,386.6954129998703,386.6954129998703,386.6954129998703,326819.0
1691620921,8,GET,/solutions,0.666667,0.000000,360,380,380,400,400,400,400,400,400,400,400,5,0,360.0,257.82854040007805,70.75646899920685,403.1288370006223,175611.0
1691620921,8,GET,/success-stories,0.166667,0.000000,380,380,380,380,380,380,380,380,380,380,380,1,0,383.5503800000879,383.5503800000879,383.5503800000879,383.5503800000879,219687.0
1691620921,8,GET,/why-hoodoo,0.166667,0.000000,370,370,370,370,370,370,370,370,370,370,370,2,0,371.38275600045745,389.55220900015775,371.38275600045745,407.72166199985804,239063.0
1691620921,8,,Aggregated,1.500000,0.000000,370,380,380,390,400,410,410,410,410,410,410,14,0,370.0,313.9811637142884,70.75646899920685,407.72166199985804,199275.7857142857
1691620922,9,GET,/,0.166667,0.000000,400,400,400,400,400,400,400,400,400,400,400,3,0,130.0,200.8407539997279,78.84931399985362,397.0737959998587,250119.66666666666
1691620922,9,GET,/blog,0.166667,0.000000,370,370,370,370,370,370,370,370,370,370,370,2,0,350.0,358.767023999917,345.75470100025996,371.77934699957405,149621.5
1691620922,9,GET,/fastly,0.000000,0.000000,360,360,360,360,360,360,360,360,360,360,360,1,0,363.7862209998275,363.7862209998275,363.7862209998275,363.7862209998275,152595.0
1691620922,9,GET,/services,0.166667,0.000000,390,390,390,390,390,390,390,390,390,390,390,1,0,386.6954129998703,386.6954129998703,386.6954129998703,386.6954129998703,326819.0
1691620922,9,GET,/solutions,0.666667,0.000000,360,380,380,400,400,400,400,400,400,400,400,5,0,360.0,257.82854040007805,70.75646899920685,403.1288370006223,175611.0
1691620922,9,GET,/success-stories,0.166667,0.000000,380,380,380,380,380,380,380,380,380,380,380,1,0,383.5503800000879,383.5503800000879,383.5503800000879,383.5503800000879,219687.0
